configuration,parameter,setting,run_id,started_at_utc,finished_at_utc,model_id,diversity_sample_size,chunk_size,reasoning_effort,temperature,maximum_completion_tokens,event_f1,field_extraction_accuracy,llm_calls,total_tokens,runtime_sec,input_lines,raw_sha256,ground_truth_sha256,artifact_directory
default,Default,k=8; chunk=50k; reasoning=off; Gemini 3.1 Flash-Lite,20260903_031305,2026-09-03T03:13:04+00:00,2026-09-03T03:14:40+00:00,gemini-3.1-flash-lite,8,50000,off,0,8192,0.894345,1.0,82,154075,91.392,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031304Z/default/20260903_031305
k_2,Diversity sample size k,2,20260903_031502,2026-09-03T03:15:01+00:00,2026-09-03T03:16:50+00:00,gemini-3.1-flash-lite,2,50000,off,0,8192,0.894536,0.999854,86,129930,104.671,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/k_2/20260903_031502
k_4,Diversity sample size k,4,20260903_031651,2026-09-03T03:16:51+00:00,2026-09-03T03:18:26+00:00,gemini-3.1-flash-lite,4,50000,off,0,8192,0.894549,1.0,84,136666,91.062,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/k_4/20260903_031651
k_16,Diversity sample size k,16,20260903_031827,2026-09-03T03:18:26+00:00,2026-09-03T03:20:06+00:00,gemini-3.1-flash-lite,16,50000,off,0,8192,0.894345,1.0,86,200736,94.896,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/k_16/20260903_031827
k_32,Diversity sample size k,32,20260903_032007,2026-09-03T03:20:06+00:00,2026-09-03T03:22:14+00:00,gemini-3.1-flash-lite,32,50000,off,0,8192,0.895611,0.999781,104,306217,123.703,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/k_32/20260903_032007
chunk_5k,Chunk size,5k,20260903_032215,2026-09-03T03:22:14+00:00,2026-09-03T03:24:22+00:00,gemini-3.1-flash-lite,8,5000,off,0,8192,0.894441,0.999781,102,195908,123.171,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/chunk_5k/20260903_032215
chunk_10k,Chunk size,10k,20260903_032423,2026-09-03T03:24:22+00:00,2026-09-03T03:25:51+00:00,gemini-3.1-flash-lite,8,10000,off,0,8192,0.894345,1.0,75,143371,83.911,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/chunk_10k/20260903_032423
chunk_100k,Chunk size,100k,20260903_032552,2026-09-03T03:25:51+00:00,2026-09-03T03:27:28+00:00,gemini-3.1-flash-lite,8,100000,off,0,8192,0.894345,1.0,83,156681,92.032,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/chunk_100k/20260903_032552
reasoning_medium,Reasoning,medium,20260903_032729,2026-09-03T03:27:28+00:00,2026-09-03T04:02:04+00:00,gemini-3.1-flash-lite,8,50000,medium,0,8192,0.885877,0.999781,98,948267,2070.854,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/reasoning_medium/20260903_032729
gpt_4o_mini,Model,GPT-4o-mini,20260903_040205,2026-09-03T04:02:04+00:00,2026-09-03T04:04:13+00:00,gpt-4o-mini-2024-07-18,8,50000,off,0,8192,0.790452,0.999781,94,150189,124.106,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/gpt_4o_mini/20260903_040205
gpt_4o,Model,GPT-4o,20260903_040414,2026-09-03T04:04:13+00:00,2026-09-03T04:07:08+00:00,gpt-4o-2024-08-06,8,50000,off,0,8192,0.88123,0.999781,110,176399,170.787,50000,6ffa2c916d2e2e4dacb734a25c1a655a2a15a38b36720785f7e1b59ded625aea,1a79fca1b1265b67d5fc2564386a1260249b382dd388e43ed602b3ef0cd21b5b,outputs/sensitivity_controlled_rerun/20260903T031501Z/gpt_4o/20260903_040414
